State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Karnataka,Mysore,2012,Summer     ,maize,114.0,392.0
Karnataka,Mysore,2012,Summer     ,rice,901.0,2709.0
Karnataka,Mysore,2012,Whole Year ,coconut,21605.0,196286.0
Karnataka,Mysore,2012,Whole Year ,tapioca,33.0,349.0
Karnataka,Mysore,2013,Kharif     ,cotton,46165.0,136724.0
Karnataka,Mysore,2013,Kharif     ,maize,30416.0,92060.0
Karnataka,Mysore,2013,Kharif     ,mungbean,5751.0,1961.0
Karnataka,Mysore,2013,Kharif     ,rice,91737.0,311039.0
Karnataka,Mysore,2013,Rabi       ,chickpea,786.0,421.0
Karnataka,Mysore,2013,Rabi       ,maize,4167.0,12874.0
Karnataka,Mysore,2013,Rabi       ,mungbean,53.0,13.0
Karnataka,Mysore,2013,Rabi       ,rice,50.0,125.0
Karnataka,Mysore,2013,Summer     ,cotton,10.0,36.0
Karnataka,Mysore,2013,Summer     ,maize,880.0,2855.0
Karnataka,Mysore,2013,Summer     ,rice,10661.0,39236.0
Karnataka,Mysore,2013,Whole Year ,coconut,22417.0,177853.0
Karnataka,Mysore,2013,Whole Year ,tapioca,2.0,17.0
Karnataka,Mysore,2014,Kharif     ,cotton,48174.0,85874.0
Karnataka,Mysore,2014,Kharif     ,maize,30195.0,101259.0
Karnataka,Mysore,2014,Kharif     ,mungbean,7912.0,2247.0
Karnataka,Mysore,2014,Kharif     ,rice,94359.0,319929.0
Karnataka,Mysore,2014,Rabi       ,chickpea,2240.0,1551.0
Karnataka,Mysore,2014,Rabi       ,maize,6266.0,22704.0
Karnataka,Mysore,2014,Rabi       ,mungbean,77.0,25.0
Karnataka,Mysore,2014,Summer     ,maize,238.0,776.0
Karnataka,Mysore,2014,Summer     ,rice,8864.0,30349.0
Karnataka,Mysore,2014,Whole Year ,coconut,22352.0,197674.0
Karnataka,Mysore,2014,Whole Year ,tapioca,3.0,27.0
Karnataka,Raichur,1997,Kharif     ,maize,9911.0,34724.0
Karnataka,Raichur,1997,Kharif     ,rice,92636.0,287526.0
Karnataka,Raichur,1997,Rabi       ,maize,336.0,658.0
Karnataka,Raichur,1997,Rabi       ,wheat,18598.0,3725.0
Karnataka,Raichur,1997,Summer     ,maize,339.0,734.0
Karnataka,Raichur,1997,Summer     ,rice,79540.0,190102.0
Karnataka,Raichur,1998,Kharif     ,cotton,49208.0,58421.0
Karnataka,Raichur,1998,Kharif     ,maize,216.0,741.0
Karnataka,Raichur,1998,Kharif     ,mungbean,9376.0,2031.0
Karnataka,Raichur,1998,Kharif     ,rice,66264.0,225260.0
Karnataka,Raichur,1998,Rabi       ,chickpea,14597.0,10077.0
Karnataka,Raichur,1998,Rabi       ,wheat,4158.0,1772.0
Karnataka,Raichur,1998,Summer     ,maize,33.0,75.0
Karnataka,Raichur,1998,Summer     ,rice,51083.0,170193.0
Karnataka,Raichur,1998,Whole Year ,coconut,90.0,429.0
Karnataka,Raichur,1999,Kharif     ,cotton,34301.0,35606.0
Karnataka,Raichur,1999,Kharif     ,maize,144.0,420.0
Karnataka,Raichur,1999,Kharif     ,mungbean,9553.0,1243.0
Karnataka,Raichur,1999,Kharif     ,rice,90604.0,278618.0
Karnataka,Raichur,1999,Rabi       ,chickpea,14620.0,7262.0
Karnataka,Raichur,1999,Rabi       ,wheat,3174.0,1473.0
Karnataka,Raichur,1999,Summer     ,maize,11.0,20.0
Karnataka,Raichur,1999,Summer     ,rice,57121.0,180417.0
Karnataka,Raichur,1999,Whole Year ,banana,20.0,469.0
Karnataka,Raichur,1999,Whole Year ,coconut,178.0,849.0
Karnataka,Raichur,2000,Kharif     ,cotton,36981.0,43909.0
Karnataka,Raichur,2000,Kharif     ,maize,188.0,622.0
Karnataka,Raichur,2000,Kharif     ,mungbean,13925.0,3466.0
Karnataka,Raichur,2000,Kharif     ,rice,90009.0,294349.0
Karnataka,Raichur,2000,Rabi       ,chickpea,23214.0,11094.0
Karnataka,Raichur,2000,Rabi       ,wheat,3566.0,2045.0
Karnataka,Raichur,2000,Summer     ,rice,51537.0,151023.0
Karnataka,Raichur,2000,Whole Year ,banana,23.0,423.0
Karnataka,Raichur,2000,Whole Year ,coconut,111.0,529.0
Karnataka,Raichur,2001,Kharif     ,cotton,44627.0,41939.0
Karnataka,Raichur,2001,Kharif     ,maize,135.0,368.0
Karnataka,Raichur,2001,Kharif     ,mungbean,1504.0,983.0
Karnataka,Raichur,2001,Kharif     ,rice,77825.0,245184.0
Karnataka,Raichur,2001,Rabi       ,chickpea,32056.0,18760.0
Karnataka,Raichur,2001,Rabi       ,wheat,3048.0,1231.0
Karnataka,Raichur,2001,Summer     ,rice,43935.0,108088.0
Karnataka,Raichur,2001,Whole Year ,coconut,208.0,992.0
Karnataka,Raichur,2002,Kharif     ,cotton,31605.0,21270.0
Karnataka,Raichur,2002,Kharif     ,maize,85.0,155.0
Karnataka,Raichur,2002,Kharif     ,mungbean,7935.0,460.0
Karnataka,Raichur,2002,Kharif     ,rice,81970.0,271989.0
Karnataka,Raichur,2002,Rabi       ,chickpea,28033.0,13094.0
Karnataka,Raichur,2002,Rabi       ,mungbean,168.0,29.0
Karnataka,Raichur,2002,Rabi       ,wheat,3197.0,978.0
Karnataka,Raichur,2002,Summer     ,maize,21.0,54.0
Karnataka,Raichur,2002,Summer     ,rice,5954.0,13383.0
Karnataka,Raichur,2002,Whole Year ,banana,36.0,616.0
Karnataka,Raichur,2002,Whole Year ,coconut,523.0,2494.0
Karnataka,Raichur,2002,Whole Year ,grapes,3.0,89.0
Karnataka,Raichur,2002,Whole Year ,mango,666.0,896.0
Karnataka,Raichur,2002,Whole Year ,papaya,32.0,74.0
Karnataka,Raichur,2003,Kharif     ,cotton,31965.0,30941.0
Karnataka,Raichur,2003,Kharif     ,maize,397.0,1268.0
Karnataka,Raichur,2003,Kharif     ,mungbean,5806.0,866.0
Karnataka,Raichur,2003,Kharif     ,rice,65710.0,172865.0
Karnataka,Raichur,2003,Rabi       ,chickpea,37409.0,14265.0
Karnataka,Raichur,2003,Rabi       ,maize,36.0,67.0
Karnataka,Raichur,2003,Rabi       ,mungbean,7.0,2.0
Karnataka,Raichur,2003,Rabi       ,rice,7058.0,20920.0
Karnataka,Raichur,2003,Rabi       ,wheat,2584.0,587.0
Karnataka,Raichur,2003,Summer     ,maize,53.0,133.0
Karnataka,Raichur,2003,Summer     ,rice,6234.0,18738.0
Karnataka,Raichur,2003,Whole Year ,banana,25.0,325.0
Karnataka,Raichur,2003,Whole Year ,coconut,496.0,2365.0
Karnataka,Raichur,2003,Whole Year ,mango,684.0,2018.0
Karnataka,Raichur,2004,Kharif     ,cotton,35250.0,32681.0
Karnataka,Raichur,2004,Kharif     ,maize,385.0,1311.0
Karnataka,Raichur,2004,Kharif     ,mungbean,9929.0,1802.0
Karnataka,Raichur,2004,Kharif     ,rice,89833.0,240662.61
Karnataka,Raichur,2004,Rabi       ,chickpea,18483.0,8823.0
Karnataka,Raichur,2004,Rabi       ,mungbean,8.0,2.0
Karnataka,Raichur,2004,Rabi       ,rice,555.0,1872.0
Karnataka,Raichur,2004,Rabi       ,wheat,2746.0,756.0
Karnataka,Raichur,2004,Summer     ,maize,48.0,147.0
Karnataka,Raichur,2004,Summer     ,rice,17602.0,53376.0
Karnataka,Raichur,2004,Whole Year ,banana,22.0,276.0
Karnataka,Raichur,2004,Whole Year ,coconut,441.0,21242.97
Karnataka,Raichur,2005,Kharif     ,maize,355.0,1285.0
Karnataka,Raichur,2005,Kharif     ,mungbean,4099.0,787.0
Karnataka,Raichur,2005,Kharif     ,rice,100632.0,273862.0
Karnataka,Raichur,2005,Rabi       ,chickpea,23661.0,12447.0
Karnataka,Raichur,2005,Rabi       ,mungbean,3.0,1.0
Karnataka,Raichur,2005,Rabi       ,wheat,2825.0,1041.0
Karnataka,Raichur,2005,Summer     ,maize,344.0,1063.0
Karnataka,Raichur,2005,Summer     ,rice,77553.0,155308.0
Karnataka,Raichur,2005,Whole Year ,banana,8.0,95.0
Karnataka,Raichur,2005,Whole Year ,coconut,138.0,658.0
Karnataka,Raichur,2005,Whole Year ,cotton,22061.0,31534.0
Karnataka,Raichur,2006,Kharif     ,chickpea,25.0,3.0
Karnataka,Raichur,2006,Kharif     ,maize,625.0,2278.0
Karnataka,Raichur,2006,Kharif     ,mungbean,6240.0,184.0
Karnataka,Raichur,2006,Kharif     ,rice,81530.0,285068.0
Karnataka,Raichur,2006,Rabi       ,chickpea,64084.0,31152.0
Karnataka,Raichur,2006,Rabi       ,maize,40.0,126.0
Karnataka,Raichur,2006,Rabi       ,mungbean,45.0,14.0
Karnataka,Raichur,2006,Rabi       ,wheat,4029.0,2214.0
Karnataka,Raichur,2006,Summer     ,maize,141.0,452.0
Karnataka,Raichur,2006,Summer     ,rice,56238.0,130306.0
Karnataka,Raichur,2006,Whole Year ,banana,8.0,160.0
Karnataka,Raichur,2006,Whole Year ,coconut,158.0,753.0
Karnataka,Raichur,2006,Whole Year ,cotton,12783.0,24291.0
Karnataka,Raichur,2007,Kharif     ,maize,606.0,1188.0
Karnataka,Raichur,2007,Kharif     ,mungbean,11911.0,962.0
Karnataka,Raichur,2007,Kharif     ,rice,96323.0,286365.0
Karnataka,Raichur,2007,Rabi       ,chickpea,58483.0,35870.0
Karnataka,Raichur,2007,Rabi       ,maize,369.0,1312.0
Karnataka,Raichur,2007,Rabi       ,mungbean,33.0,11.0
Karnataka,Raichur,2007,Rabi       ,wheat,3155.0,1908.0
Karnataka,Raichur,2007,Summer     ,maize,193.0,623.0
Karnataka,Raichur,2007,Summer     ,rice,63904.0,175509.0
Karnataka,Raichur,2007,Whole Year ,banana,93.0,1645.0
Karnataka,Raichur,2007,Whole Year ,coconut,429.0,2184.0
Karnataka,Raichur,2007,Whole Year ,cotton,22259.0,51779.0
Karnataka,Raichur,2008,Kharif     ,maize,438.0,1103.0
Karnataka,Raichur,2008,Kharif     ,mungbean,470.0,9.0
Karnataka,Raichur,2008,Kharif     ,rice,94423.0,334587.9
Karnataka,Raichur,2008,Rabi       ,chickpea,76525.0,27376.0
Karnataka,Raichur,2008,Rabi       ,maize,116.0,366.0
Karnataka,Raichur,2008,Rabi       ,wheat,1780.0,802.0
Karnataka,Raichur,2008,Summer     ,maize,198.0,623.0
Karnataka,Raichur,2008,Summer     ,rice,70502.0,188205.0
Karnataka,Raichur,2008,Whole Year ,banana,59.0,1025.0
Karnataka,Raichur,2008,Whole Year ,coconut,229.0,1569.0
Karnataka,Raichur,2008,Whole Year ,cotton,26561.0,73442.0
Karnataka,Raichur,2009,Kharif     ,chickpea,583.0,187.0
Karnataka,Raichur,2009,Kharif     ,maize,475.0,662.0
Karnataka,Raichur,2009,Kharif     ,mungbean,3563.0,54.0
Karnataka,Raichur,2009,Kharif     ,rice,96230.0,252315.06
Karnataka,Raichur,2009,Rabi       ,chickpea,797.0,202.0
Karnataka,Raichur,2009,Rabi       ,maize,109.0,287.0
Karnataka,Raichur,2009,Rabi       ,wheat,1798.0,941.0
Karnataka,Raichur,2009,Summer     ,maize,331.0,906.0
Karnataka,Raichur,2009,Summer     ,rice,80210.0,240181.0
Karnataka,Raichur,2009,Whole Year ,banana,65.0,1442.0
Karnataka,Raichur,2009,Whole Year ,coconut,175.0,1244.0
Karnataka,Raichur,2009,Whole Year ,cotton,22101.0,53381.0
Karnataka,Raichur,2010,Kharif     ,cotton,27086.0,55465.0
Karnataka,Raichur,2010,Kharif     ,maize,358.0,1029.0
Karnataka,Raichur,2010,Kharif     ,mungbean,15445.0,2362.0
Karnataka,Raichur,2010,Kharif     ,rice,100297.0,309529.0
Karnataka,Raichur,2010,Rabi       ,cotton,280.0,657.0
Karnataka,Raichur,2010,Rabi       ,chickpea,100330.0,45180.0
Karnataka,Raichur,2010,Rabi       ,maize,339.0,999.0
Karnataka,Raichur,2010,Rabi       ,wheat,2558.0,2112.0
Karnataka,Raichur,2010,Summer     ,maize,316.0,1075.0
Karnataka,Raichur,2010,Summer     ,rice,74459.0,212420.0
Karnataka,Raichur,2010,Whole Year ,banana,79.0,1855.0
Karnataka,Raichur,2010,Whole Year ,coconut,30.0,287.0
Karnataka,Raichur,2011,Kharif     ,cotton,38467.0,69268.0
Karnataka,Raichur,2011,Kharif     ,maize,329.0,1074.0
Karnataka,Raichur,2011,Kharif     ,mungbean,2717.0,485.0
Karnataka,Raichur,2011,Kharif     ,rice,105525.0,346950.0
Karnataka,Raichur,2011,Rabi       ,chickpea,69776.0,26348.0
Karnataka,Raichur,2011,Rabi       ,maize,199.0,642.0
Karnataka,Raichur,2011,Rabi       ,wheat,2307.0,1294.0
Karnataka,Raichur,2011,Summer     ,maize,159.0,542.0
Karnataka,Raichur,2011,Summer     ,rice,37175.0,108244.0
Karnataka,Raichur,2011,Whole Year ,banana,71.0,1774.0
Karnataka,Raichur,2011,Whole Year ,coconut,27.0,268.0
Karnataka,Raichur,2012,Kharif     ,cotton,53170.0,174109.0
Karnataka,Raichur,2012,Kharif     ,maize,141.0,311.0
Karnataka,Raichur,2012,Kharif     ,mungbean,530.0,62.0
Karnataka,Raichur,2012,Kharif     ,rice,113989.0,354865.0
Karnataka,Raichur,2012,Rabi       ,cotton,190.0,235.0
Karnataka,Raichur,2012,Rabi       ,chickpea,109636.0,103113.0
Karnataka,Raichur,2012,Rabi       ,maize,338.0,1023.0
Karnataka,Raichur,2012,Rabi       ,wheat,2332.0,1172.0
Karnataka,Raichur,2012,Summer     ,maize,171.0,588.0
Karnataka,Raichur,2012,Summer     ,rice,37718.0,115881.0
Karnataka,Raichur,2012,Whole Year ,coconut,36.0,354.0
Karnataka,Raichur,2013,Kharif     ,cotton,55755.0,165126.0
Karnataka,Raichur,2013,Kharif     ,maize,227.0,870.0
Karnataka,Raichur,2013,Kharif     ,mungbean,2419.0,761.0
Karnataka,Raichur,2013,Kharif     ,rice,107557.0,347511.0
Karnataka,Raichur,2013,Rabi       ,chickpea,127854.0,127170.0
Karnataka,Raichur,2013,Rabi       ,maize,103.0,315.0
Karnataka,Raichur,2013,Rabi       ,wheat,1054.0,1047.0
Karnataka,Raichur,2013,Summer     ,maize,50.0,107.0
Karnataka,Raichur,2013,Summer     ,rice,70799.0,225452.0
Karnataka,Raichur,2013,Whole Year ,coconut,63.0,500.0
Karnataka,Raichur,2014,Kharif     ,cotton,104970.0,302671.0
Karnataka,Raichur,2014,Kharif     ,maize,198.0,293.0
Karnataka,Raichur,2014,Kharif     ,mungbean,266.0,10.0
Karnataka,Raichur,2014,Kharif     ,rice,97935.0,320982.0
Karnataka,Raichur,2014,Rabi       ,chickpea,60078.0,57474.0
Karnataka,Raichur,2014,Rabi       ,maize,118.0,399.0
Karnataka,Raichur,2014,Rabi       ,wheat,656.0,589.0
Karnataka,Raichur,2014,Summer     ,rice,64645.0,171894.0
Karnataka,Raichur,2014,Whole Year ,coconut,80.0,714.0
Karnataka,Ramanagara,2007,Kharif     ,maize,1669.0,12220.0
Karnataka,Ramanagara,2007,Kharif     ,mungbean,85.0,19.0
Karnataka,Ramanagara,2007,Kharif     ,rice,5784.0,15901.0
Karnataka,Ramanagara,2007,Rabi       ,chickpea,17.0,13.0
Karnataka,Ramanagara,2007,Rabi       ,maize,60.0,214.0
Karnataka,Ramanagara,2007,Summer     ,maize,146.0,471.0
Karnataka,Ramanagara,2007,Summer     ,rice,290.0,905.0
Karnataka,Ramanagara,2007,Whole Year ,banana,2920.0,72962.0
Karnataka,Ramanagara,2007,Whole Year ,coconut,13825.0,70391.0
Karnataka,Ramanagara,2007,Whole Year ,tapioca,2.0,15.0
Karnataka,Ramanagara,2008,Kharif     ,maize,1754.0,5374.0
Karnataka,Ramanagara,2008,Kharif     ,mungbean,80.0,11.0
Karnataka,Ramanagara,2008,Kharif     ,rice,6252.0,16531.0
Karnataka,Ramanagara,2008,Rabi       ,maize,100.0,315.0
Karnataka,Ramanagara,2008,Summer     ,maize,146.0,459.0
Karnataka,Ramanagara,2008,Summer     ,rice,360.0,1130.0
Karnataka,Ramanagara,2008,Whole Year ,banana,3655.0,136649.0
Karnataka,Ramanagara,2008,Whole Year ,coconut,13861.0,92242.0
Karnataka,Ramanagara,2008,Whole Year ,tapioca,4.0,39.0
Karnataka,Ramanagara,2009,Kharif     ,chickpea,4067.0,1758.0
Karnataka,Ramanagara,2009,Kharif     ,maize,1646.0,6845.0
Karnataka,Ramanagara,2009,Kharif     ,mungbean,68.0,8.0
Karnataka,Ramanagara,2009,Kharif     ,rice,7446.0,21277.0
Karnataka,Ramanagara,2009,Rabi       ,chickpea,3536.0,1821.0
Karnataka,Ramanagara,2009,Rabi       ,maize,85.0,224.0
Karnataka,Ramanagara,2009,Summer     ,maize,262.0,717.0
Karnataka,Ramanagara,2009,Summer     ,rice,868.0,2738.0
Karnataka,Ramanagara,2009,Whole Year ,banana,3376.0,100865.0
Karnataka,Ramanagara,2009,Whole Year ,coconut,14328.0,101875.0
Karnataka,Ramanagara,2009,Whole Year ,tapioca,4.0,37.0
Karnataka,Ramanagara,2010,Kharif     ,maize,1134.0,5367.0
Karnataka,Ramanagara,2010,Kharif     ,mungbean,8.0,2.0
Karnataka,Ramanagara,2010,Kharif     ,rice,7884.0,19794.0
Karnataka,Ramanagara,2010,Rabi       ,maize,200.0,589.0
Karnataka,Ramanagara,2010,Summer     ,maize,391.0,1330.0
Karnataka,Ramanagara,2010,Summer     ,rice,589.0,1744.0
Karnataka,Ramanagara,2010,Whole Year ,banana,2127.0,64046.0
Karnataka,Ramanagara,2010,Whole Year ,coconut,14982.0,143220.0
Karnataka,Ramanagara,2010,Whole Year ,tapioca,9.0,99.0
Karnataka,Ramanagara,2011,Kharif     ,maize,1959.0,6797.0
Karnataka,Ramanagara,2011,Kharif     ,mungbean,19.0,5.0
Karnataka,Ramanagara,2011,Kharif     ,rice,7230.0,19461.0
Karnataka,Ramanagara,2011,Rabi       ,maize,131.0,482.0
Karnataka,Ramanagara,2011,Summer     ,maize,299.0,1019.0
Karnataka,Ramanagara,2011,Summer     ,rice,467.0,802.0
Karnataka,Ramanagara,2011,Whole Year ,banana,2163.0,71083.0
Karnataka,Ramanagara,2011,Whole Year ,coconut,14532.0,168554.0
Karnataka,Ramanagara,2011,Whole Year ,tapioca,5.0,53.0
Karnataka,Ramanagara,2012,Kharif     ,maize,2988.0,10784.0
Karnataka,Ramanagara,2012,Kharif     ,mungbean,38.0,12.0
Karnataka,Ramanagara,2012,Kharif     ,rice,6340.0,15407.0
Karnataka,Ramanagara,2012,Rabi       ,chickpea,55.0,35.0
Karnataka,Ramanagara,2012,Rabi       ,maize,134.0,550.0
Karnataka,Ramanagara,2012,Summer     ,maize,262.0,900.0
Karnataka,Ramanagara,2012,Summer     ,rice,412.0,849.0
Karnataka,Ramanagara,2012,Whole Year ,coconut,14014.0,162546.0
Karnataka,Ramanagara,2012,Whole Year ,tapioca,2.0,21.0
Karnataka,Ramanagara,2013,Kharif     ,maize,4270.0,18323.0
Karnataka,Ramanagara,2013,Kharif     ,mungbean,7.0,2.0
Karnataka,Ramanagara,2013,Kharif     ,rice,5321.0,13931.0
Karnataka,Ramanagara,2013,Rabi       ,chickpea,35.0,27.0
Karnataka,Ramanagara,2013,Rabi       ,maize,104.0,391.0
Karnataka,Ramanagara,2013,Summer     ,maize,304.0,986.0
Karnataka,Ramanagara,2013,Summer     ,rice,431.0,799.0
Karnataka,Ramanagara,2013,Whole Year ,coconut,13637.0,108194.0
Karnataka,Ramanagara,2013,Whole Year ,tapioca,4.0,35.0
Karnataka,Ramanagara,2014,Kharif     ,cotton,1.0,3.0
Karnataka,Ramanagara,2014,Kharif     ,maize,2084.0,8262.0
Karnataka,Ramanagara,2014,Kharif     ,mungbean,6.0,1.0
Karnataka,Ramanagara,2014,Kharif     ,rice,4617.0,10759.0
Karnataka,Ramanagara,2014,Rabi       ,chickpea,18.0,13.0
Karnataka,Ramanagara,2014,Rabi       ,maize,114.0,467.0
Karnataka,Ramanagara,2014,Rabi       ,rice,2.0,5.0
Karnataka,Ramanagara,2014,Summer     ,maize,530.0,1729.0
Karnataka,Ramanagara,2014,Summer     ,rice,605.0,1887.0
Karnataka,Ramanagara,2014,Whole Year ,coconut,15056.0,167850.0
Karnataka,Ramanagara,2014,Whole Year ,tapioca,18.0,162.0
Karnataka,Shimoga,1997,Kharif     ,maize,55694.0,131489.0
Karnataka,Shimoga,1997,Kharif     ,rice,162939.0,370499.0
Karnataka,Shimoga,1997,Rabi       ,maize,2.0,4.0
Karnataka,Shimoga,1997,Rabi       ,wheat,255.0,60.0
Karnataka,Shimoga,1997,Summer     ,maize,6.0,13.0
Karnataka,Shimoga,1997,Summer     ,rice,38347.0,119344.0
Karnataka,Shimoga,1998,Kharif     ,cotton,18011.0,42405.0
Karnataka,Shimoga,1998,Kharif     ,maize,8268.0,32073.0
Karnataka,Shimoga,1998,Kharif     ,mungbean,139.0,27.0
Karnataka,Shimoga,1998,Kharif     ,rice,136875.0,315137.0
Karnataka,Shimoga,1998,Rabi       ,chickpea,332.0,186.0
Karnataka,Shimoga,1998,Rabi       ,maize,1.0,2.0
Karnataka,Shimoga,1998,Rabi       ,mungbean,3856.0,1729.0
Karnataka,Shimoga,1998,Rabi       ,wheat,4.0,2.0
Karnataka,Shimoga,1998,Summer     ,maize,26.0,59.0
Karnataka,Shimoga,1998,Summer     ,rice,21758.0,68480.0
Karnataka,Shimoga,1998,Whole Year ,coconut,6638.0,23434.0
Karnataka,Shimoga,1999,Kharif     ,cotton,15072.0,27147.0
Karnataka,Shimoga,1999,Kharif     ,maize,13238.0,40172.0
Karnataka,Shimoga,1999,Kharif     ,mungbean,128.0,44.0
Karnataka,Shimoga,1999,Kharif     ,rice,138371.0,314020.0
Karnataka,Shimoga,1999,Rabi       ,chickpea,373.0,194.0
Karnataka,Shimoga,1999,Rabi       ,maize,63.0,129.0
Karnataka,Shimoga,1999,Rabi       ,mungbean,3286.0,1246.0
Karnataka,Shimoga,1999,Rabi       ,wheat,9.0,6.0
Karnataka,Shimoga,1999,Summer     ,maize,389.0,711.0
Karnataka,Shimoga,1999,Summer     ,rice,22658.0,69311.0
Karnataka,Shimoga,1999,Whole Year ,banana,2994.0,76338.0
Karnataka,Shimoga,1999,Whole Year ,coconut,6759.0,23862.0
Karnataka,Shimoga,1999,Whole Year ,tapioca,26.0,170.0
Karnataka,Shimoga,2000,Kharif     ,cotton,9050.0,13958.0
Karnataka,Shimoga,2000,Kharif     ,maize,18624.0,61571.0
Karnataka,Shimoga,2000,Kharif     ,mungbean,131.0,54.0
Karnataka,Shimoga,2000,Kharif     ,rice,135079.0,309306.0
Karnataka,Shimoga,2000,Rabi       ,chickpea,152.0,99.0
Karnataka,Shimoga,2000,Rabi       ,mungbean,2452.0,657.0
Karnataka,Shimoga,2000,Rabi       ,wheat,2.0,3.0
Karnataka,Shimoga,2000,Summer     ,maize,45.0,127.0
Karnataka,Shimoga,2000,Summer     ,rice,21285.0,61673.0
Karnataka,Shimoga,2000,Whole Year ,banana,3463.0,52825.0
Karnataka,Shimoga,2000,Whole Year ,coconut,6938.0,24493.0
Karnataka,Shimoga,2000,Whole Year ,tapioca,25.0,163.0
Karnataka,Shimoga,2001,Kharif     ,cotton,11760.0,13537.0
Karnataka,Shimoga,2001,Kharif     ,maize,17497.0,49533.0
Karnataka,Shimoga,2001,Kharif     ,mungbean,96.0,25.0
Karnataka,Shimoga,2001,Kharif     ,rice,131783.0,197149.0
Karnataka,Shimoga,2001,Rabi       ,chickpea,42.0,25.0
Karnataka,Shimoga,2001,Rabi       ,maize,69.0,162.0
Karnataka,Shimoga,2001,Rabi       ,mungbean,1863.0,618.0
Karnataka,Shimoga,2001,Summer     ,maize,257.0,676.0
Karnataka,Shimoga,2001,Summer     ,rice,17038.0,47441.0
Karnataka,Shimoga,2001,Whole Year ,coconut,6925.0,18339.0
Karnataka,Shimoga,2002,Kharif     ,cotton,7472.0,11023.0
Karnataka,Shimoga,2002,Kharif     ,maize,26170.0,95297.0
Karnataka,Shimoga,2002,Kharif     ,mungbean,217.0,14.0
Karnataka,Shimoga,2002,Kharif     ,rice,131561.0,195445.0
Karnataka,Shimoga,2002,Rabi       ,chickpea,88.0,45.0
Karnataka,Shimoga,2002,Rabi       ,maize,9.0,22.0
Karnataka,Shimoga,2002,Rabi       ,mungbean,2280.0,277.0
Karnataka,Shimoga,2002,Summer     ,maize,500.0,1278.0
Karnataka,Shimoga,2002,Summer     ,rice,7472.0,19038.0
Karnataka,Shimoga,2002,Whole Year ,banana,3044.0,39788.0
Karnataka,Shimoga,2002,Whole Year ,coconut,6820.0,18061.0
Karnataka,Shimoga,2002,Whole Year ,mango,1932.0,11389.0
Karnataka,Shimoga,2002,Whole Year ,tapioca,12.0,78.0
Karnataka,Shimoga,2003,Kharif     ,cotton,4809.0,7901.0
Karnataka,Shimoga,2003,Kharif     ,maize,48313.0,142715.0
Karnataka,Shimoga,2003,Kharif     ,mungbean,111.0,17.0
Karnataka,Shimoga,2003,Kharif     ,rice,113986.0,217783.0
Karnataka,Shimoga,2003,Rabi       ,chickpea,88.0,28.0
Karnataka,Shimoga,2003,Rabi       ,maize,34.0,78.0
Karnataka,Shimoga,2003,Rabi       ,mungbean,1897.0,555.0
Karnataka,Shimoga,2003,Rabi       ,rice,5.0,15.0
Karnataka,Shimoga,2003,Summer     ,maize,299.0,753.0
Karnataka,Shimoga,2003,Summer     ,rice,6262.0,24164.0
Karnataka,Shimoga,2003,Whole Year ,banana,602.0,2239.0
Karnataka,Shimoga,2003,Whole Year ,coconut,6700.0,17743.0
Karnataka,Shimoga,2003,Whole Year ,mango,1902.0,10332.0
Karnataka,Shimoga,2003,Whole Year ,tapioca,11.0,72.0
Karnataka,Shimoga,2004,Kharif     ,cotton,6223.0,12067.0
Karnataka,Shimoga,2004,Kharif     ,maize,59981.0,220658.0
Karnataka,Shimoga,2004,Kharif     ,mungbean,69.0,11.0
Karnataka,Shimoga,2004,Kharif     ,rice,114078.0,249260.43
Karnataka,Shimoga,2004,Rabi       ,chickpea,39.0,20.0
Karnataka,Shimoga,2004,Rabi       ,maize,4.0,12.0
Karnataka,Shimoga,2004,Rabi       ,mungbean,1041.0,254.0
Karnataka,Shimoga,2004,Summer     ,maize,155.0,474.0
Karnataka,Shimoga,2004,Summer     ,rice,14045.0,64219.0
Karnataka,Shimoga,2004,Whole Year ,banana,3210.0,19485.0
Karnataka,Shimoga,2004,Whole Year ,coconut,6613.0,176897.75
Karnataka,Shimoga,2004,Whole Year ,tapioca,10.0,65.0
Karnataka,Shimoga,2005,Kharif     ,maize,60039.0,160869.0
Karnataka,Shimoga,2005,Kharif     ,mungbean,100.0,25.0
Karnataka,Shimoga,2005,Kharif     ,rice,116186.0,275507.0
Karnataka,Shimoga,2005,Rabi       ,chickpea,123.0,70.0
Karnataka,Shimoga,2005,Rabi       ,maize,10.0,36.0
Karnataka,Shimoga,2005,Rabi       ,mungbean,1441.0,225.0
Karnataka,Shimoga,2005,Summer     ,maize,224.0,479.0
Karnataka,Shimoga,2005,Summer     ,rice,17408.0,57617.0
Karnataka,Shimoga,2005,Whole Year ,banana,4788.0,28335.0
Karnataka,Shimoga,2005,Whole Year ,coconut,6843.0,18122.0
Karnataka,Shimoga,2005,Whole Year ,cotton,6662.0,11764.0
Karnataka,Shimoga,2005,Whole Year ,tapioca,9.0,59.0
Karnataka,Shimoga,2006,Kharif     ,chickpea,28.0,4.0
Karnataka,Shimoga,2006,Kharif     ,maize,57437.0,179506.0
Karnataka,Shimoga,2006,Kharif     ,mungbean,93.0,11.0
Karnataka,Shimoga,2006,Kharif     ,rice,117493.0,267405.0
Karnataka,Shimoga,2006,Rabi       ,chickpea,37.0,18.0
